"sim","resid_beta0","resid_beta1","resid_beta2","resid_conv_msg","resid_data_resampled","audit_recovery"
1,-1.87596159863187,2.36308310646071,-0.128237629451435,"Converged",NA,0.9
2,-1.62173238913666,1.32679672004102,-0.143678598280789,"Converged",NA,0.9
3,-1.57809458100016,0.247545722853911,-0.0470960568291595,"Converged",NA,0.9
4,-1.80884191139882,1.56519334986241,-0.0812364608003659,"Converged",NA,0.9
5,-2.25587900542244,2.38215745277579,-0.0710057149149025,"Converged",NA,0.9
6,-2.32703390653893,3.01141641304017,-0.081265978668377,"Converged",NA,0.9
7,-2.37866598949256,2.64118447040213,-0.123070188928849,"Converged",NA,0.9
8,-1.52835934970324,1.26656103204841,-0.133600862054844,"Converged",NA,0.9
9,-2.25063863620437,1.97525678299859,-0.0714375746700184,"Converged",NA,0.9
10,-1.65276590555952,1.75158525650898,-0.146045499085263,"Converged",NA,0.9
11,-1.89009099519806,2.00092024556831,-0.0988551711646077,"Converged",NA,0.9
12,-1.94300113677063,1.26858172428348,-0.0693487939111309,"Converged",NA,0.9
13,-2.19848024819457,2.99172913001504,-0.110444566402828,"Converged",NA,0.9
14,-2.1553969766124,2.65996730920146,-0.0841043475988317,"Converged",NA,0.9
15,-2.25720373054974,2.13057693550032,-0.0485205792664265,"Converged",NA,0.9
16,-1.39342649219962,-0.0745374693365342,-0.072072830001236,"Converged",NA,0.9
17,-1.47884355864135,0.699785727688457,-0.0955783965203876,"Converged",NA,0.9
18,-2.85470118953657,3.43680611955034,-0.0147145162453775,"Converged",NA,0.9
19,-1.80611719505934,1.76462176327249,-0.141570969249715,"Converged",NA,0.9
20,-1.66020978121388,2.01223577275664,-0.147637378297706,"Converged",NA,0.9
21,-2.15650118913721,2.20845027182433,-0.0820539044149147,"Converged",NA,0.9
22,-1.83987000559344,1.50852640302952,-0.11106161972139,"Converged",NA,0.9
23,-2.53787172263681,2.75018167502966,-0.048389042865954,"Converged",NA,0.9
24,-1.85737241390499,1.8458885080842,-0.0949972470853818,"Converged",NA,0.9
25,-1.85369021896759,1.21037545578537,-0.0999327617014803,"Converged",NA,0.9
26,-1.68809396351547,1.3343584660531,-0.110043133344665,"Converged",NA,0.9
27,-1.62282039097869,0.988615331606036,-0.0757931002603595,"Converged",NA,0.9
28,-1.87593388821346,1.32229287559683,-0.089151809910043,"Converged",NA,0.9
29,-2.06822414547516,2.82670476878923,-0.112451340222931,"Converged",NA,0.9
30,-2.38485969138611,2.35198495912863,-0.0452382337851731,"Converged",NA,0.9
31,-1.92090975980866,2.58610987529643,-0.144633633881561,"Converged",NA,0.9
32,-1.7395255127675,1.78322593572166,-0.13309471238228,"Converged",NA,0.9
33,-1.48671390843003,1.2980001096856,-0.154819628017534,"Converged",NA,0.9
34,-1.79464781009446,2.09551114671782,-0.129980058783212,"Converged",NA,0.9
35,-2.02040589600591,1.49177365359005,-0.0429817510054294,"Converged",NA,0.9
36,-1.61751380462626,2.11183046235482,-0.151395146681745,"Converged",NA,0.9
37,-2.12034247829148,1.98374804083787,-0.0636442905935598,"Converged",NA,0.9
38,-2.48490091130778,1.98730363906663,-0.00618764333993991,"Converged",NA,0.9
39,-1.73748907258354,2.02621587843482,-0.136659533613042,"Converged",NA,0.9
40,-1.73575315667849,1.54583046297977,-0.118863014257468,"Converged",NA,0.9
41,-1.68575437147754,0.650641502594722,-0.0928252570752505,"Converged",NA,0.9
42,-2.19617991906942,2.10059051056861,-0.0813384905220386,"Converged",NA,0.9
43,-2.16449015395744,3.08820870421456,-0.129857804526931,"Converged",NA,0.9
44,-1.2311802897844,0.764850297220137,-0.204567428709331,"Converged",NA,0.9
45,-1.80578755116925,1.10690819374392,-0.0903349946162939,"Converged",NA,0.9
46,-1.78199080540538,1.76844317703714,-0.162777421496241,"Converged",NA,0.9
47,-1.37259834860612,0.943666529522935,-0.126103210703671,"Converged",NA,0.9
48,-1.79478767541204,2.47537883460153,-0.156356424445736,"Converged",NA,0.9
49,-2.28670251668453,2.68722449212097,-0.0694434021091025,"Converged",NA,0.9
50,-2.1619296824171,2.63415296562802,-0.0994794983991525,"Converged",NA,0.9
51,-1.91566243174292,2.07167384760064,-0.0920873253183644,"Converged",NA,0.9
52,-2.13395699732038,1.93588463516626,-0.0518603088100008,"Converged",NA,0.9
53,-1.8590296974872,1.77619045799341,-0.157710252078631,"Converged",NA,0.9
54,-1.30403030170226,0.294884290757082,-0.152830386833427,"Converged",NA,0.9
55,-1.74879577949344,1.31030161113087,-0.11147883357179,"Converged",NA,0.9
56,-1.65197597837562,0.337726203309668,-0.0556950289287577,"Converged",NA,0.9
57,-1.51295924274922,1.79519907493555,-0.207525543108827,"Converged",NA,0.9
58,-1.91686082525745,1.9289567445299,-0.11902336481386,"Converged",NA,0.9
59,-2.17922565857467,1.97644183023901,-0.0845348855793552,"Converged",NA,0.9
60,-2.15708828839202,1.54760934512623,-0.0504830578346402,"Converged",NA,0.9
61,-2.77336133175093,4.18728647159712,-0.106593242417174,"Converged",NA,0.9
62,-2.18850839468779,2.93516136647572,-0.100768604626545,"Converged",NA,0.9
63,-1.75286546232021,1.04098913096094,-0.0988709027705944,"Converged",NA,0.9
64,-2.12977335080096,2.31206279915986,-0.132460443569514,"Converged",NA,0.9
65,-1.58075729878406,2.42884086311775,-0.194372168625445,"Converged",NA,0.9
66,-2.04232703735476,2.00676446655533,-0.0812941754012414,"Converged",NA,0.9
67,-1.99015465414844,1.53624566652304,-0.033347925043458,"Converged",NA,0.9
68,-2.31340721075467,1.76893219133576,-0.0210247713179418,"Converged",NA,0.9
69,-2.27653665849305,3.40256159476918,-0.106852550862589,"Converged",NA,0.9
