"sim","gs_beta0","gs_beta1","gs_beta2","naive_beta0","naive_beta1","naive_beta2","cc_beta0","cc_beta1","cc_beta2","smle_beta0","smle_beta1","smle_beta2","tpr","fpr"
1,-0.722662367663434,1.72251638183851,-0.0339222452228675,-0.353032800436793,0.463509819948228,-0.0337137770737423,-0.719746290099234,2.03239452115714,-0.0242130611600519,-0.571173704337352,1.20370284133678,-0.0336406032494966,0.99,0.01
2,-2.16895796512631,1.52790953707225,-0.000696324883403181,-2.00652400183472,0.761046099694226,0.000150701748898561,-1.60664625265432,1.21914503150377,-0.0074865912372657,-2.18030228981257,1.49843988085147,-8.83323391342329e-06,0.99,0.01
3,-1.85084784898098,0.618056085346486,-0.00245727041182284,-1.65060302615549,-0.0780236937642876,-0.00191751119165094,-1.04439744453724,0.817360163377027,-0.0214851441425113,-1.62133992320127,-0.187200848821749,-0.00189225515360531,0.99,0.01
4,-2.91361218326517,1.73008509289132,0.01473110905258,-2.63176994608117,0.802161510700586,0.0144165175912136,-2.47837329576433,3.20531800943874,-0.0007742701879473,-2.99339846444086,2.004082451551,0.0151246144572736,0.99,0.01
5,-1.59106661906724,1.20160813700002,-0.0120348417488324,-1.49055815539341,0.787382146451131,-0.0122367307455151,3.15657668949905,-1.55440110854264,-0.110013156079361,-1.52054969516112,0.979200952030295,-0.0120134958595009,0.99,0.01
6,-1.16589359497145,0.748260825123808,-0.018878514058561,-0.824798586471336,-0.216893640633417,-0.019547793984925,-5.78097502863936,8.58491360134665,0.0115862983296042,-0.988872332452168,0.279583093191878,-0.0194241280876007,0.99,0.01
7,-1.16975239225389,1.2435221141055,-0.020069557981473,-0.989771456207936,0.664824987906244,-0.0206833897213985,0.722729062617484,1.04751644948727,-0.0668343157915701,-1.00854503066871,0.845019298193686,-0.0205511238671575,0.99,0.01
8,-1.59025743244491,1.81835920650245,-0.0139818171030956,-1.48792784567539,1.19101016959069,-0.0132148898886565,-3.39085720121864,-0.0592775138799858,0.033317480296243,-1.65839495459925,1.92028166460232,-0.013389671333112,0.99,0.01
9,-1.48381188784589,1.25032912584003,-0.0146742066573656,-1.36416523851377,0.841296491284387,-0.0153388136015982,-2.01912854151432,1.22032879892575,-0.00262035394078395,-1.59449643540608,1.59872377315973,-0.0150929816570661,0.99,0.01
10,-1.87230442662416,1.35376864863032,-0.00698795476019183,-1.89320012651173,1.16267693861033,-0.00656611383271282,-2.62987913313244,6.0306504775846,-0.0330135957454739,-2.36814735870954,2.92221869585211,-0.00813628349816987,0.99,0.01
11,-0.774752692073533,0.0794083782172406,-0.0212846793644061,-0.856498603207155,0.31081584015054,-0.0214369836254034,1.14609887387846,-0.0765012130149904,-0.0597878442452191,-1.01501677540851,0.874167465524722,-0.021729353642862,0.99,0.01
12,-2.21658448391632,1.44400401561377,0.00137002460800946,-1.95738738527794,0.501303266203764,0.00179113028435147,-3.24841744857716,0.45617318483952,0.0452452626478569,-2.12869816792059,1.12976410292724,0.00179157747724355,0.99,0.01
13,-1.56067559891472,1.8138422054532,-0.0137524358835125,-1.44144578026507,1.39367607989841,-0.0153271567532301,-1.5611520379259,0.794711684216401,0.00207346677632001,-1.77218340836987,2.56821747739256,-0.0145337438960268,0.99,0.01
14,-3.62361496065402,0.390782228300892,0.0376485872246056,-3.58563189442417,0.247719883042125,0.037541522823804,-3.66642008811004,4.48019278665236,0.0117563731508798,-3.71216975447466,0.739931460399571,0.03737757220427,0.99,0.01
15,-2.15806688193189,1.47015343189822,-0.00124597674727114,-1.90263783300269,0.609173423686361,-0.00149681466599409,-1.79515697432326,8.85552444908057,-0.0780572948299167,-2.25474285497718,1.75429251231204,-0.00134331080592353,0.99,0.01
